SurvivorID,Dragonfire_Resistance,Shadow_Crimes,Corruption_Mutations,Reputation
1459,63,0,6,88
1498,67,0,6,88
1174,87,2,6,80
1473,70,0,6,66
1398,81,0,6,66
1781,78,0,4,66
1506,79,0,5,61
1319,94,0,5,82
1349,86,0,6,66
1197,68,8,2,88
1030,64,6,6,88
1298,64,8,6,88
1413,65,0,6,66
1064,60,0,4,88
1687,71,8,6,66
1529,71,8,6,66
1290,60,8,6,66
1453,85,0,6,88
1302,86,0,6,86
1079,60,0,6,88
1238,60,0,6,88
1695,60,0,6,88
1228,60,4,6,88
1666,60,5,6,88
1066,60,0,6,88
1381,60,0,6,88
1902,60,0,6,88
1454,60,0,6,88
1869,60,3,6,88
1616,70,0,6,88
1337,66,3,2,55
